mata_pelajaran,jam_belajar,nilai_ujian_sebelumnya,jam_tidur,tingkat_ekonomi,tingkat_motivasi,pertemanan,nilai_ujian_rendah_flag,nilai_akhir
Matematika,7.082894433766709,74.2904863523959,7.353938055084859,3,4,2,0,82.95856364257396
IPS,2.677762287686328,50.920039237252,6.943814519173842,3,4,4,0,58.8168851932632
IPS,6.210337299440983,56.20864056916476,7.28957165718007,2,2,1,0,61.68393257865025
IPA,3.816946643364952,42.52270588105681,4.0653365618161414,4,2,5,0,42.10311015679969
Bahasa,4.266941635185853,60.093956506785496,9.311954121560447,5,1,2,0,60.468384009147144
Bahasa,7.621521054726708,80.85833375724151,7.3079611548100445,5,3,4,0,91.38668840012764
Agama,3.0187312195719724,69.64941918780674,10.0,1,4,4,0,72.19169998365714
Agama,3.0157044226135596,71.22982327994998,7.620265821993599,1,1,4,0,74.35166456070486
Agama,8.609668731287996,69.97069001698831,6.397850948420336,1,4,5,0,79.80738321637213
IPS,4.708886602927233,50.72770872852402,7.382435410446525,2,1,2,0,54.659455775885135
Bahasa,7.493091186462135,63.86866263491775,9.219335701827877,2,4,3,0,68.81937146690386
Bahasa,1.802594276342131,73.3146305243076,5.919299907646132,5,2,5,0,77.50359095826407
Matematika,1.9627934608182938,84.54335337901571,7.876745650776881,1,5,1,0,88.11209786664692
IPS,3.1741109688431575,75.45406998237343,7.656658746330402,3,1,3,0,79.63456660952029
Seni,4.037078446934622,83.20914203919693,7.891097508588494,4,1,5,0,87.7267501566042
IPS,2.193426806693776,53.70645249723832,5.63654223132832,2,5,2,0,59.779080201196486
Seni,5.7385929528599995,47.44990009500772,7.95634502439047,1,2,4,0,52.6822340799176
Matematika,5.869188337313564,43.71368827075899,7.8434911510929775,1,1,5,0,48.50525443540706
IPA,3.203714244322925,82.25599805097464,9.35013341876617,2,2,1,0,82.46480250334618
Bahasa,3.3628026012183962,48.40452753122186,9.659428346426486,5,4,1,0,50.25510314935594
Matematika,3.6264371322968776,85.92557789332096,7.559429016384055,5,4,1,0,92.3523910230379
Bahasa,2.6702284022139176,63.31022323780417,7.343730977756075,5,5,3,0,71.99906359620752
Agama,0.0,95.03139401412892,5.559122151527747,5,3,4,0,99.83261332843
IPA,4.829919387710269,63.27071719792222,6.704907490082556,3,2,5,0,70.7991055303799
IPA,4.139124614598047,64.09304715757763,6.316349084240388,1,3,3,0,71.75466149697068
Matematika,4.3437083103468535,71.00454760103645,8.463521768906986,5,3,5,0,76.1037564038243
IPA,2.976392957982456,63.78073083134274,7.460987546970691,5,2,2,0,70.34024019640454
Seni,6.620994998300534,76.271005245715,5.527085147823175,4,3,2,0,81.24588770892835
IPA,9.850783178834163,54.329200807631665,5.737476672385016,4,1,5,0,62.19608411475763
Bahasa,3.331830287957689,72.79501551430097,10.0,1,4,3,0,74.07318259808406
Bahasa,7.799392277944696,58.73732303152619,6.3570171117780125,2,5,1,0,66.10266324911382
Bahasa,5.733299624294587,66.91685934791158,8.01567037547932,5,2,3,0,73.0437567616811
Bahasa,5.0708397835648675,49.37250265593854,7.03325316122981,3,5,3,0,60.63992945188111
Seni,4.311754526874338,83.08444080055878,6.625983623456875,4,4,5,0,92.00953738350022
IPS,4.833566259532016,64.66245813489608,8.758666274257916,5,5,3,0,72.34595299958228
Agama,7.299181379397252,83.7411264714535,6.317962821512778,2,2,2,0,90.40384555219778
Matematika,2.7238380780869753,58.94561114782451,6.547042802147454,3,5,5,0,66.93730463861802
Bahasa,4.4499865376970975,69.86409497216364,9.062275400139256,4,3,5,0,76.02462326622121
IPA,7.498000415645006,83.88908733256108,6.422949231495845,2,3,5,0,92.33950184110041
Bahasa,6.9674293870559945,52.36769897677158,4.890910042287082,2,4,3,0,58.792271442579015
IPA,2.754828122099513,56.76510082845007,5.308235650089449,3,3,4,0,60.82911012202065
Agama,4.63481624443791,82.15855223493026,7.771726656122544,3,5,1,0,89.81322449702478
Agama,6.4560156956680546,90.21150247525999,5.948245779846757,4,1,1,0,93.99825171492719
Agama,6.326856238642193,70.2431570749568,8.694867132226484,3,5,2,0,77.92427157115051
IPA,6.950269042486576,55.45645663093708,7.031408118365388,5,1,5,0,63.46625461720349
Bahasa,5.768571776334595,65.23103561350536,8.143492826112332,3,5,1,0,72.22931538450537
Agama,6.1039062959915675,99.5452726358117,7.530730446266971,2,1,3,0,100.0
Seni,5.685592843854318,49.9966748557266,8.589667085660489,3,1,3,0,52.1580093366903
IPA,8.159466155055782,77.91979000832254,9.82561415887015,4,2,3,0,80.5363839405393
IPA,4.1563776411375635,71.88282062640155,7.847107175124476,5,2,2,0,77.289893266963
Bahasa,5.096382325890434,52.65423715574112,7.773928572714505,3,5,5,0,62.24051311857199
IPA,2.9700623353645814,65.29328943643156,8.668230876791352,5,3,1,0,68.65508548770275
IPA,2.575956466391175,42.931537948024385,6.154107381603922,3,2,5,0,46.94288214838206
Agama,5.649913402116762,74.32330717632577,7.812295335817062,5,1,5,0,81.93580412289276
Bahasa,3.551627468116296,76.49528687650808,5.617096759648177,3,5,3,0,83.81811874766437
Agama,4.8846287942052875,49.5074907203802,5.861638636871599,3,3,1,0,54.2125781357409
Agama,8.235498621048418,78.34945238174703,6.286363548386354,1,5,2,0,86.64827613481069
Bahasa,8.119875404745642,60.02298509820291,8.902876159405253,2,1,5,0,62.6817772801076
Matematika,9.448089557376601,58.664453272521584,6.789537768584636,4,2,4,0,68.59028580846739
Agama,8.275305016798242,55.36977944654525,5.828986592915664,4,2,3,0,63.55862973009921
Seni,9.80603638357098,79.92438709954315,8.138881037629387,1,4,4,0,87.78319751775858
Seni,5.873059335625122,44.89239343946743,4.529105453540641,3,4,2,0,49.11257019143325
IPA,3.193958834710833,46.15976161650583,4.193348795902781,2,5,2,0,49.14505852387167
Seni,2.9992148610290394,61.11760050143338,6.620572933686836,5,5,2,0,69.29420937458418
IPA,7.792661214883039,61.636266806687004,6.59742460406207,1,3,2,0,67.72791603247626
Matematika,5.103253005620839,79.39920634947822,8.565159756544562,4,2,1,0,81.86572006881467
Bahasa,5.252263031692031,68.63291136063081,8.800541507957135,4,2,4,0,74.07601319864536
Bahasa,3.9018578240923727,68.65860162872363,6.84775088433028,4,4,3,0,76.90566896964155
Bahasa,4.141652120701434,45.7028199030059,6.687990230495271,3,1,4,0,51.97279442689395
Seni,5.767518579553851,66.54451133832664,5.835509840347463,5,1,1,0,71.07941235609935
Matematika,2.8895530197519266,33.88204570832292,6.835188881495866,5,4,5,0,44.92102104056458
Seni,5.514276931616191,73.56186507905149,4.0,5,5,2,0,77.1256964770266
Seni,8.022160390270258,80.15937597839589,6.322895929927407,3,2,5,0,88.81274473742101
Matematika,0.7327283166823584,58.307045796813135,6.87880382817002,4,2,2,0,62.71362948474974
Matematika,1.9173762438457729,75.63007220633315,5.822430067173742,4,2,3,0,77.62199097521251
Matematika,6.351219923006116,63.41431482545299,6.034469187102781,3,1,2,0,67.21147149074615
Matematika,7.727935747321727,88.4817289292839,6.5517455966663425,2,5,2,0,95.31596468388055
Bahasa,4.020214539720636,73.42020593809103,6.99026746831652,3,1,5,0,77.62261610443737
IPS,1.0035187699109227,54.4204043411042,8.294240514281364,3,5,5,0,60.99331893284531
IPS,7.863848347881504,87.56458592577212,7.639621680766176,4,4,5,0,97.64242238186003
Matematika,3.377869696170951,82.40525851569159,8.32174283363226,5,5,1,0,89.82095864520058
IPS,4.277507314144775,63.817846977957295,7.859094230500496,4,1,2,0,68.17741098427081
IPS,5.6380897446395535,77.43268535824635,7.172065183595682,2,2,5,0,84.38238178019024
Matematika,3.6671332561784853,77.19291263003156,10.0,1,1,1,0,75.78691572519833
IPS,3.2477405456856103,63.61592299057213,5.9258306523481385,1,4,3,0,67.08722284305665
Seni,3.2843996148718224,70.9847106272867,5.630424352690788,3,2,3,0,75.25240416189334
IPA,8.715857121855366,73.66783821029281,6.771085251342191,1,1,2,0,79.47255517319925
IPA,7.319227176850562,59.865491043519405,6.909673327846357,5,2,5,0,69.40457087253233
Matematika,6.1490346812343635,90.19816694915656,7.206913551617413,4,4,2,0,100.0
Bahasa,0.6271335485308676,40.34179853391112,5.568513421419471,2,5,2,0,42.96948675711481
Matematika,6.156383790111174,80.15411519691354,9.935905710690536,2,5,2,0,84.55433513986941
Bahasa,6.0484004168189385,51.724531843684886,6.482034573862096,2,3,1,0,56.970007744024365
IPA,2.4437337196296682,66.34702199361696,5.554491375571,4,2,2,0,70.69425627157248
Matematika,5.517420266947665,46.026917707409,7.3963842385428,5,4,3,0,57.2189597761548
Agama,7.102984992517378,50.21463197725998,8.64342448255531,2,1,5,0,54.679800907946245
Seni,6.138731837187547,68.69378492247527,9.416367719619867,1,1,4,0,70.63090845175289
IPS,3.6396611965995485,71.09109227560118,4.0,5,3,4,0,71.52977621917114
Bahasa,5.026529286167946,85.89700049220473,8.15092098110764,5,1,4,0,90.15923757163874
Agama,6.460713862402398,64.01387266502263,9.635356620265295,5,4,5,0,69.97476548435344
IPS,5.118904068435299,79.24608186366518,6.107119369659622,2,4,2,0,85.96103447441612
IPS,7.50856977821379,69.84608013915816,6.652544205928114,5,5,5,0,81.44039792992135
Matematika,5.791363113680218,78.66892339127995,5.57707019836747,2,2,5,0,82.74534605992513
IPS,6.505845330575662,53.62088190552115,6.161063626013672,1,2,1,0,57.23613908702828
Seni,6.64280129398352,71.33211702795413,5.402151885464431,1,1,5,0,74.49251997226736
Agama,2.866634593388274,75.59828522871538,8.4021437271454,1,2,1,0,76.12819327607605
IPS,5.099972070713358,62.55054719933812,6.840685573837428,1,3,3,0,67.2378865870625
Matematika,4.33529105296207,75.71405088334257,4.0,5,2,1,0,73.86419875211094
Seni,7.087691989614157,77.13927314103896,6.095650532915876,5,1,4,0,84.08094621435951
IPA,5.926466093408049,62.23254713193421,5.964012258157602,2,2,1,0,66.52541606854906
Agama,4.623575075788819,81.63140997635283,8.283191044368571,1,4,3,0,86.76410646381153
IPS,2.4362971931146737,35.456020363320164,6.8983994658802485,3,4,5,0,44.4412571905196
Matematika,1.8061833357589179,41.26948186004212,6.858342448951518,1,5,4,0,47.01472623492468
IPA,5.620685239889907,54.48671229078379,7.964364354213513,4,5,1,0,62.528889984757384
IPA,3.56557464553308,74.22024839648401,8.586689837556174,3,5,2,0,81.35563403563084
Bahasa,6.3322529361944655,58.67543901146795,7.401318101359851,4,5,5,0,69.15067278041505
Seni,1.7137194698475473,49.933755974434106,6.0189596780129415,3,2,4,0,53.320513614000724
IPS,8.18590239641778,68.67130595427815,4.742488960627113,2,1,4,0,72.42835416356702
Matematika,6.32772817986335,71.50556459087424,9.174984077477298,5,2,1,0,74.86658296642275
Bahasa,5.198370179955455,60.45149468166963,10.0,2,1,5,0,58.740014408752955
Seni,8.366117872805464,52.23289460597986,7.186082899689299,3,1,5,0,59.89799500720832
Bahasa,6.896835868442272,70.10647600266338,7.474592378701047,1,1,2,0,74.03694784798536
Agama,4.049993522765912,81.9240839346346,9.25628357853646,2,1,2,0,80.79907899476486
Seni,5.155152619556659,51.786275646150834,4.430955627344149,3,4,4,0,57.28361575709958
Seni,1.071451400370509,93.7143950482273,8.431227170783764,1,1,4,0,94.29477996249217
IPS,7.128380621097701,61.5006185862962,7.563617368649876,5,2,3,0,70.30868561925823
Seni,4.408096644016556,60.44958689719557,5.846270262924629,3,1,4,0,62.49752954451095
Bahasa,1.045550309522036,72.0142418747649,6.219910111028103,4,4,2,0,77.25295290707906
Seni,2.636322861182017,71.54937960789684,5.026752940255369,4,2,1,0,74.13348626581438
IPS,6.74182409689882,36.49080253884831,8.687612463977155,4,3,3,0,42.85936362204152
IPS,8.227605430072305,68.37748017720467,5.440353616531609,1,2,4,0,74.31452178296217
Agama,5.040851037836174,78.669981156017,7.618051806394416,1,4,2,0,84.59887493930401
Bahasa,3.035897316014213,85.41886421241469,4.560424024516326,2,4,3,0,88.07214584310734
IPA,2.1585006206417963,68.26355746411029,9.09170598213652,1,5,1,0,71.15488276698264
IPA,7.829229236282217,64.65864427120023,6.692699054514407,3,3,1,0,73.04130011755718
Seni,5.898935556894455,80.87021640037698,8.608336611955965,4,1,2,0,84.30481808368812
Agama,4.3397207587105076,96.87655436599158,6.682167937218181,5,4,5,0,100.0
Matematika,3.8634564278489183,71.40311081490248,6.089580755428061,4,5,2,0,79.90287935032369
Seni,6.343659275467257,67.26385924806821,4.989216266242682,3,5,2,0,74.17143141285597
Agama,6.288636988142721,88.85295489170288,8.580662070344621,5,1,2,0,93.17707018054094
Bahasa,3.206831173088109,53.0531569313908,6.45445826768735,2,2,5,0,57.35654789255993
Bahasa,2.7152550181981154,70.93972974216807,7.445439185364936,1,3,4,0,75.82675254043787
Bahasa,2.816194608573011,100.0,5.938006519108371,3,1,4,0,100.0
Bahasa,4.0635508390512864,76.80068030472677,6.974456715900351,1,1,1,0,80.11443778667989
Bahasa,3.6204290928344873,81.50174273494851,7.308071223305183,2,2,4,0,86.92194928213547
Agama,8.236184036339132,65.06951859090582,4.366901100207074,5,2,2,0,69.97726339130001
Agama,3.992438755481122,78.7945385599864,5.976849933426523,3,4,4,0,84.80026625261475
IPS,2.50066710410054,88.23791681416986,9.362504308444583,5,2,5,0,90.3022756131091
IPA,2.6130051182009453,47.287356170223134,5.773920068222707,3,2,4,0,51.77006002294952
Bahasa,4.6320567979168095,68.55571627697122,8.35358760979157,2,3,2,0,74.00522962546945
Matematika,1.355751754042319,75.24620781663651,7.48946887518709,2,3,4,0,79.92711833335898
Agama,4.879758572275207,69.15460354348329,7.766968062346944,2,3,1,0,75.0069291945397
Matematika,2.3275809990368717,62.69298925947909,7.9506327201226945,1,1,4,0,63.81817300146669
Matematika,7.317220733483403,90.9277556317206,7.030504592764405,4,3,1,0,100.0
Matematika,5.2331246984838895,73.05443723904581,6.146430244180058,5,3,3,0,80.32970031368596
IPS,9.242047203064887,59.48312358374467,5.882653650395663,3,5,5,0,68.79798125654807
Agama,4.543598840995578,84.76345326266568,6.50390806108448,5,3,1,0,92.1529515127343
Matematika,0.0,90.84625769341885,8.875742097170027,4,1,3,0,90.53534976180323
Bahasa,7.915362400712407,87.11118192663025,4.96613465462494,1,5,3,0,95.1428232084175
Seni,6.003846316954137,63.765719183698025,6.532706475433927,1,1,2,0,67.32521195286711
Matematika,6.313815757921347,64.41381795362868,4.728047996261477,4,1,3,0,65.24001273922266
IPS,2.9948328205119017,54.39867269417171,6.126782120513075,3,5,5,0,62.21647092394587
Agama,4.914303888809222,73.80987133553961,6.813652665307095,4,5,5,0,85.10380467493565
IPS,5.37292175027132,86.47837319178029,9.092317512021497,1,5,5,0,91.69872649566908
Matematika,4.524358764787803,78.46271510291918,9.254912109968199,1,5,5,0,83.65987958093864
Agama,1.531274349493052,96.28104699356402,4.3039214918071655,5,1,2,0,96.53884476628279
Seni,10.0,40.8944560635722,4.732368221737696,3,5,4,0,48.71364893535212
Matematika,6.67165847565645,72.10268908651399,6.751417266141593,3,2,1,0,81.34358236390725
IPS,5.841168094040792,82.47487635497794,8.142203661330667,1,3,2,0,86.96173603669986
IPA,7.627771242027959,60.866540213743804,4.595788024499123,4,3,2,0,67.35700881690067
Bahasa,6.288384422077683,53.027205263520436,6.444360618171789,1,2,1,0,58.82194442673463
IPS,3.645594239840599,51.89241031252243,8.553448756139712,5,1,1,0,56.08475912469436
Agama,7.49956551563538,71.56601546277932,8.735556145858194,4,1,4,0,76.81192009245069
Matematika,6.70443201315603,51.517991100130104,6.5434126059656865,1,3,4,0,59.111502316196734
Bahasa,3.7214283653718825,92.09560198501454,4.0,3,4,5,0,94.195253687186
Matematika,6.58002933657009,77.72406189098807,8.5737643094978,5,2,4,0,83.13990824592348
Agama,4.518859935647837,66.98890058635187,5.61907309904419,1,2,4,0,69.25235434210339
Matematika,5.416956399597226,68.7925399944656,7.806616439844969,1,3,1,0,74.05958201794896
IPA,6.199300933826452,86.22888041711317,5.65108630586284,2,5,3,0,94.67367009734723
Bahasa,7.73699540260992,90.11349291790711,7.151296321078718,4,4,5,0,100.0
Bahasa,3.7080080297458915,55.99123296166933,7.465109300078232,2,1,5,0,61.06795085653129
Agama,5.729924361304526,59.002586909961735,8.926302910164868,3,1,2,0,62.35108121628587
IPA,9.031452452462391,64.64001516465154,4.888366201036607,4,1,4,0,68.56885907987964
IPS,4.647905007946097,60.630926517508684,5.677508543351813,5,1,4,0,65.73736749005478
Matematika,5.3931135553991645,42.9286285565028,9.420449818863144,4,2,1,0,46.38673195238157
Seni,9.028460948955976,57.77682180646856,7.347306222981806,1,2,4,0,66.22476963023686
Matematika,6.274954943898209,59.442813412062364,5.71051398778683,1,5,2,0,67.60846730664014
Matematika,2.0520394416777683,51.99769283935697,8.084488045775498,1,2,1,0,54.955323592888966
IPS,3.4090446956912706,76.60420413197184,5.501215165645117,4,5,5,0,82.91372568533971
Matematika,6.379158428730886,68.11267739293531,7.29314138888052,1,5,4,0,77.04482297530585
IPA,5.84600981578095,79.2593073122029,5.973497793919993,1,1,4,0,83.3479548344851
IPA,5.325159733477639,55.22833621226475,8.864400123851595,2,1,2,0,56.87435294332408
Bahasa,9.322448366332928,79.50853053169674,5.715413622336002,1,2,2,0,82.51448565201406
Agama,3.7650256876832104,72.17079696996682,4.0,2,2,1,0,68.96786372651523
Seni,4.851172353135928,61.773030591434576,6.327186209149119,3,5,5,0,68.85373339998796
Matematika,1.073779581123529,94.06426972185548,5.999222124865344,4,3,2,0,99.16372077111303
Matematika,7.3213197776019445,71.69059467606837,6.633698549963037,2,1,2,0,77.59995084463935
IPS,3.4022953978748403,62.101788895420526,7.835447790990924,4,4,5,0,69.36400203805272
Agama,7.114273537601858,74.2155295951999,5.227181999310627,4,3,3,0,79.54512234523902
IPA,6.904060262874602,55.80271813601447,5.834262481476546,5,1,1,0,61.548399817251315
Seni,9.698198517575557,67.34848282162845,6.991191884285913,2,1,3,0,75.74699563465037
Bahasa,6.298551153062424,100.0,6.010831074774038,1,2,5,0,100.0
IPA,4.287826751359782,43.456089505513035,7.097510278603803,5,4,4,0,52.16163052014627
Agama,5.9072459199941845,62.07663991018344,7.806602122421108,2,4,1,0,68.3531281557991
Bahasa,3.4814943043428244,67.78612179546519,7.020343580789829,2,1,5,0,72.47246505073802
IPS,5.638320355017818,64.50398553367135,8.65017944256847,3,5,5,0,71.72116029875437
IPS,4.598194988915256,62.4902947145608,5.577576767537376,1,4,1,0,66.13063761357806
Matematika,4.859323100656257,95.39862612490532,6.132127160783432,3,3,3,0,100.0
Agama,3.2032670241448726,61.677291556349836,9.239929593417944,4,5,4,0,67.3794151653335
Seni,5.600892119525553,75.95258211873822,5.898651559650285,1,2,3,0,80.26938607476703
Bahasa,6.648460051372138,60.81163084939225,10.0,3,1,2,0,59.24509617614913
IPA,1.6958064106565458,75.98779089259527,8.449462529813566,3,1,3,0,76.67549362861136
Agama,3.622814693469725,84.03516444868986,5.767352583584777,1,3,2,0,85.58919762029967
Agama,5.336094338360541,68.88438480273543,7.878104931314505,2,3,1,0,75.64239436720104
IPS,0.3053667175731718,61.42277722156514,7.44464750035544,4,2,2,0,65.26855752129515
Matematika,8.480528867425837,68.14721447198434,4.817884042735216,5,2,5,0,73.64177241976394
Matematika,3.57777837089389,78.02616836928738,9.316367259778858,5,4,2,0,82.7078040018544
Bahasa,3.123824962483144,82.99694530325971,8.232058126039984,5,5,5,0,92.18670122877937
IPS,4.585315447486423,73.85540277757895,9.215037824803419,4,1,5,0,74.31960743168555
Agama,5.274745677596448,68.80761366445617,8.570380410348074,1,4,3,0,72.86673289730922
Seni,3.487054204095325,89.1822256641933,7.523467350975205,1,2,4,0,93.57757999995249
IPS,6.960827331977854,60.600974347991446,8.619805051363112,1,3,3,0,64.05409045832367
Bahasa,5.799413078882447,63.816206870752154,4.996068118681854,5,4,3,0,69.43227265969678
Bahasa,3.3255162127892888,96.90541963420978,9.975542146851229,2,3,5,0,96.32607137807801
IPS,3.9551897661552573,68.54877739637386,8.117760613014104,3,5,4,0,75.07628656535161
Bahasa,1.9664606072193616,79.88567972703294,4.070222019895225,5,3,5,0,81.19057095764515
IPS,2.493318208930328,56.69667798583244,4.758678148698849,4,1,4,0,59.283901939276895
IPA,5.775196656424723,85.01483194135201,7.431545405382172,1,5,2,0,93.76959933118643
IPS,3.346270887860343,52.74069628909288,5.6655717840262865,3,3,5,0,56.38346415020791
IPS,8.608568906098185,51.62604043521539,7.779888183732508,1,4,3,0,59.22494248278129
Bahasa,5.141846400618285,83.38713757337918,5.521526257441885,1,1,5,0,86.31712857418152
Bahasa,2.2943531497920095,64.5787104810689,5.091071659038279,1,1,1,0,62.92284652321042
Matematika,2.7133054278648747,66.36431839920573,6.189491305399019,2,2,1,0,68.72917495197301
Matematika,7.105939389362856,76.4589737052535,10.0,3,2,1,0,79.44277895444809
IPA,4.846972794781851,65.64888017902753,5.357868599354655,5,4,3,0,70.95924745798717
Matematika,6.983989653115271,54.28423931466643,8.88530846634592,2,2,3,0,59.986180333385015
IPS,4.267024039843869,61.48129284268259,5.863318901867407,4,3,1,0,65.39724727073293
Bahasa,3.8795358149929795,55.377999226740855,6.866728808508874,4,2,3,0,59.83969210178766
Matematika,7.23889474206877,87.42026394707314,7.187013472887033,5,1,3,0,96.69239361683596
Matematika,3.2828452459428146,88.08559599591464,6.906842314411136,3,4,3,0,96.23870892801686
IPA,5.9781082667407235,57.389293703179014,7.084944941390002,5,3,1,0,65.85285732475808
Agama,4.5764327791972645,76.53180014062009,7.5072240739838705,2,1,2,0,80.79210110764645
IPA,6.757446826751549,65.9114981881043,4.7593870286664375,3,1,2,0,66.46612618190116
IPS,8.636967975071599,91.89124425808758,6.8017096397512535,4,5,4,0,100.0
Bahasa,4.215644633597981,100.0,6.916312613332735,3,2,5,0,100.0
IPA,3.905715722407088,80.9765721407933,7.8326097904861225,3,3,2,0,85.67753044838699
Matematika,6.331616778074711,62.29406840546774,6.5781574738664546,3,4,4,0,70.6118473113027
Bahasa,2.8359928095938636,52.616285885141714,7.7927383245967246,5,4,2,0,60.69933347459875
Bahasa,8.23293091570007,73.6711702308028,6.020834414033188,1,4,1,0,80.57564839915763
Matematika,7.892045100112947,67.66145375454285,6.1716913920246235,2,5,4,0,77.50357464747341
IPA,3.001760721679139,48.36337003019739,7.467571615690195,3,3,1,0,52.30641955834213
Matematika,1.8337503611861874,71.19054166823577,5.457137875706904,3,1,1,0,71.82329429900223
Agama,2.6788456942875642,100.0,6.15290095767376,5,5,4,0,100.0
Bahasa,2.7092607200817644,82.0856852926229,6.257971098549754,2,2,4,0,84.35189500544165
Seni,6.603521128709954,52.5729715017071,6.337051805017454,2,1,2,0,56.17183707236546
Seni,8.098340631558807,69.72379129226915,7.085929652716026,4,4,2,0,81.41600467441127
IPS,6.5802524252376475,75.60187920321673,5.664257815088535,2,2,5,0,81.10465262122914
Matematika,4.527615566767085,77.38640683461793,7.938286399392833,2,3,2,0,81.56317636043443
Matematika,5.684996933820828,45.45624776008712,6.592368315336631,3,3,4,0,53.09247012843754
IPS,3.2604439343899294,68.24010677931058,7.605739628460881,1,5,2,0,74.45721655571417
IPS,7.194416091128465,73.9153033364705,5.158056064755245,3,3,4,0,77.28319762807139
IPS,5.864057879965065,67.20173543491178,4.0,5,4,5,0,72.1948398854718
Bahasa,6.546395564032926,41.064977385348406,8.414554508949832,2,5,4,0,47.15016191429966
Agama,3.5449285962804487,67.72522973980453,7.313138670050936,1,5,5,0,76.14398042794807
Matematika,4.662805626262707,81.7621625987213,7.819878174793179,3,4,5,0,87.86104386719315
Bahasa,6.450146279962406,61.42029287850411,8.976379166901756,4,3,5,0,68.05494055452019
IPS,7.88702579904723,62.95093891580165,5.590617768570908,5,2,1,0,68.775342965162
Matematika,3.7838004811028303,90.96721718358285,4.2870333048040905,5,5,3,0,94.63770073886883
Bahasa,6.560903814341639,67.00254165786869,8.467234546972797,5,2,4,0,71.86911097134056
Agama,3.5758564067794323,71.67850219164049,7.978063109895492,3,2,2,0,74.91198441075753
Bahasa,9.234387545653217,42.033415680166556,8.658985594428486,1,2,3,0,46.63083065337893
Agama,4.170350583454941,54.20701378997207,9.487712977281229,1,2,3,0,54.40899806898618
IPS,6.287010348104223,100.0,5.239875673216189,2,4,1,0,100.0
Agama,5.331219230467265,94.83270190078758,8.405280945253606,1,1,4,0,97.5670995480814
Matematika,10.0,77.09313600364442,6.619601599901944,4,3,4,0,88.45427903226464
IPS,5.459803216049128,35.69727684214537,8.44945817408629,5,1,2,0,41.73840671714514
Matematika,3.969887954019744,50.024939758136284,9.754000636866591,3,1,1,0,49.05893132338332
Seni,6.279013025226126,49.62280898472417,7.04118757448681,5,5,3,0,60.901565469812496
IPA,6.234481733550746,49.40359231011104,5.881596681787246,5,1,4,0,55.36396629134864
Agama,4.685060272482116,64.209660365662,4.966109375357575,4,1,1,0,64.99712453004473
IPA,2.810468271543783,81.71106256565099,4.0,5,4,5,0,83.72583776891229
IPA,3.944002277219287,60.52134562860788,9.17764236751332,5,2,4,0,63.02926778097265
Agama,6.762997896289838,65.34344305015681,9.2719046750038,4,1,3,0,68.0559872416205
IPS,1.5051021075320743,65.39196223599635,8.517188506911637,4,1,5,0,67.84249144162649
